Tåguppdrag,Förstaplatssignatur_för_Uppdrag,Sistaplatssignatur_för_Uppdrag
8426.0,U,Tip
2225.0,U,Söc
2251.0,U,Söc
855.0,U,Cst
8423.0,Gä,U
8428.0,U,Gä
8414.0,U,Tip
8454.0,U,Tip
275.0,Gä,Lp
2248.0,Söc,U
845.0,U,Cst
281.0,Ls,Lp
8416.0,U,Gä
17.0,Fln,Cst
272.0,Lp,Gä
843.0,U,Cst
8410.0,U,Gä
268.0,Lp,Ls
263.0,Ls,Cst
98491.0,Tip,U
20.0,Cst,Fln
2255.0,U,Söc
598.0,Cst,Ös
562.0,Cst,Suc
2263.0,U,Söc
566.0,Cst,Suc
8408.0,U,Gä
823.0,U,Cst
57.0,Blg,Cst
582.0,Cst,Uå
2233.0,U,Söc
2257.0,U,Söc
836.0,Cst,U
275.0,Gä,Lp
2232.0,Söc,U
825.0,U,Cst
576.0,Cst,Suc
2240.0,Söc,U
846.0,Cst,U
42.0,Cst,Mra
578.0,Cst,Uå
8420.0,U,Gä
566.0,Cst,Suc
2226.0,Söc,U
2252.0,Söc,U
578.0,Cst,Uå
2230.0,Söc,U
13.0,Fln,Cst
916.0,Hpbg,U
8515.0,Sl,U
815.0,U,Cst
882.0,Cst,U
841.0,U,Cst
583.0,Suc,Cst
2254.0,Söc,U
561.0,Suc,Cst
895.0,U,Cst
8461.0,Gä,U
2239.0,U,Söc
2236.0,Söc,U
271.0,Gä,Cst
56.0,Cst,Blg
576.0,Cst,Suc
8505.0,Sl,U
894.0,Cst,U
598.0,Cst,Ös
896.0,Cst,U
8433.0,Tip,U
9472.0,Bra,Gäb
838.0,Cst,U
893.0,U,Cst
857.0,U,Cst
19.0,Fln,Cst
282.0,Lp,Gä
9472.0,Bra,Gäb
573.0,Uå,Cst
8445.0,Tip,U
2214.0,Söc,U
2219.0,U,Söc
80905.0,U,Hgl
848.0,Cst,U
562.0,Cst,Suc
853.0,U,Cst
277.0,Suc,Lp
264.0,Lp,Suc
816.0,Cst,U
808.0,Cst,U
2222.0,Söc,U
8457.0,Gä,U
8450.0,U,Gä
262.0,Lp,Gä
42.0,Cst,Mra
93.0,Bjf,Cst
828.0,Cst,U
2217.0,U,Söc
8455.0,Gä,U
2208.0,Söc,U
2238.0,Söc,U
2228.0,Söc,U
8522.0,U,Sl
2229.0,U,Söc
580.0,Lp,Suc
579.0,Suc,Cst
891.0,U,Cst
17.0,Fln,Cst
57.0,Blg,Cst
812.0,Cst,U
8521.0,Sl,U
281.0,Ls,Lp
2253.0,U,Söc
859.0,U,Cst
881.0,U,Cst
8509.0,Sl,U
8431.0,Gä,U
829.0,U,Cst
14.0,Cst,Fln
22.0,Cst,Fln
569.0,Uå,Cst
806.0,Cst,U
582.0,Cst,Uå
827.0,U,Cst
2218.0,Söc,U
8511.0,Sl,U
2249.0,U,Söc
8512.0,U,Sl
8463.0,Gä,U
818.0,Cst,U
8424.0,U,Gä
2212.0,Söc,U
99851.0,U,Hgl
271.0,Gä,Cst
282.0,Lp,Gä
8436.0,U,Gä
8446.0,U,Gä
278.0,Cst,Ls
8451.0,Gä,U
48.0,Cst,Mra
591.0,Ös,Cst
887.0,U,Cst
8435.0,Gä,U
822.0,Cst,U
64.0,Cst,Fln
8514.0,U,Sl
833.0,U,Cst
884.0,Cst,U
262.0,Lp,Gä
9475.0,Gäb,Bra
2247.0,U,Söc
269.0,Ls,Lp
8519.0,Sl,U
268.0,Lp,Ls
2210.0,Söc,U
889.0,U,Cst
570.0,Cst,Suc
2259.0,U,Söc
8506.0,U,Sl
892.0,Cst,U
8510.0,U,Sl
8438.0,U,Tip
8417.0,Gä,U
8520.0,U,Sl
8441.0,Tip,U
575.0,Suc,Cst
831.0,U,Cst
890.0,Cst,U
2220.0,Söc,U
2231.0,U,Söc
2261.0,U,Söc
2224.0,Söc,U
2223.0,U,Söc
574.0,Cst,Uå
817.0,U,Cst
8503.0,Sl,U
8432.0,U,Gä
883.0,U,Cst
2250.0,Söc,U
569.0,Uå,Cst
2245.0,U,Söc
584.0,Cst,Suc
9475.0,Gäb,Bra
8516.0,U,Sl
560.0,Cst,Uå
2234.0,Söc,U
8517.0,Sl,U
19.0,Fln,Cst
8459.0,Gä,U
8437.0,Tip,U
20.0,Cst,Fln
280.0,Cst,Gä
8513.0,Sl,U
2227.0,U,Söc
8419.0,Gä,U
565.0,Uå,Lp
8507.0,Sl,U
839.0,U,Cst
2216.0,Söc,U
837.0,U,Cst
826.0,Cst,U
824.0,Cst,U
93.0,Bjf,Cst
48.0,Cst,Mra
8440.0,U,Gä
269.0,Ls,Lp
98490.0,U,Tip
573.0,Uå,Cst
563.0,Suc,Cst
278.0,Cst,Ls
80.0,Cst,Åre
8412.0,U,Gä
2237.0,U,Söc
567.0,Suc,Cst
819.0,U,Cst
2246.0,Söc,U
8518.0,U,Sl
563.0,Suc,Cst
2241.0,U,Söc
8442.0,U,Gä
591.0,Ös,Cst
849.0,U,Cst
42041.0,Le,Tm
2242.0,Söc,U
8418.0,U,Tip
565.0,Uå,Lp
8524.0,U,Sl
280.0,Cst,Gä
8447.0,Gä,U
8448.0,U,Gä
820.0,Cst,U
814.0,Cst,U
56.0,Cst,Blg
821.0,U,Cst
14.0,Cst,Fln
2235.0,U,Söc
42041.0,Le,Tm
51.0,Fln,Cst
570.0,Cst,Suc
575.0,Suc,Cst
8421.0,Gä,U
80.0,Cst,Åre
8453.0,Tip,U
263.0,Ls,Cst
840.0,Cst,U
835.0,U,Cst
8201.0,Gä,Cst
8430.0,U,Tip
567.0,Suc,Cst
579.0,Suc,Cst
8422.0,U,Tip
844.0,Cst,U
574.0,Cst,Uå
842.0,Cst,U
9821.0,Uågb,Jbo
2244.0,Söc,U
957.0,U,Öb
8444.0,U,Gä
8429.0,Tip,U
264.0,Lp,Suc
967.0,U,Hpbg
8425.0,Gä,U
41.0,Mra,Cst
99885.0,Hgl,U
51.0,Fln,Cst
8508.0,U,Sl
906.0,Öb,U
47.0,Mra,Cst
580.0,Lp,Suc
834.0,Cst,U
47.0,Mra,Cst
851.0,U,Cst
2243.0,U,Söc
813.0,U,Cst
8434.0,U,Tip
259.0,Snv,Lp
64.0,Cst,Fln
8443.0,Gä,U
41.0,Mra,Cst
13.0,Fln,Cst
8452.0,U,Gä
852.0,Cst,U
22.0,Cst,Fln
810.0,Cst,U
272.0,Lp,Gä
830.0,Cst,U
832.0,Cst,U
850.0,Cst,U
8427.0,Gä,U
561.0,Suc,Cst
9821.0,Uågb,Jbo
2221.0,U,Söc
277.0,Suc,Lp
8439.0,Gä,U
8449.0,Tip,U
94.0,Cst,Bjf
